index,Country,lat,lon
0,Afghanistan,33.93911,67.709953
1,Albania,41.1533,20.1683
2,Algeria,28.0339,1.6596
3,Andorra,42.5063,1.5218
4,Angola,-11.2027,17.8739
5,Antigua and Barbuda,17.0608,-61.7964
6,Argentina,-38.4161,-63.6167
7,Armenia,40.0691,45.0382
8,Australia,-35.4735,149.0124
16,Austria,47.5162,14.5501
17,Azerbaijan,40.1431,47.5769
18,Bahamas,25.025885,-78.035889
19,Bahrain,26.0275,50.55
20,Bangladesh,23.685,90.3563
21,Barbados,13.1939,-59.5432
22,Belarus,53.7098,27.9534
23,Belgium,50.8333,4.469936
24,Belize,17.1899,-88.4976
25,Benin,9.3077,2.3158
26,Bhutan,27.5142,90.4336
27,Bolivia,-16.2902,-63.5887
28,Bosnia and Herzegovina,43.9159,17.6791
29,Botswana,-22.3285,24.6849
30,Brazil,-14.235,-51.9253
31,Brunei,4.5353,114.7277
32,Bulgaria,42.7339,25.4858
33,Burkina Faso,12.2383,-1.5616
34,Burma,21.9162,95.956
35,Burundi,-3.3731,29.9189
36,Cabo Verde,16.5388,-23.0418
37,Cambodia,11.55,104.9167
38,Cameroon,3.848,11.5021
39,Canada,53.9333,-116.5765
55,Central African Republic,6.6111,20.9394
56,Chad,15.4542,18.7322
57,Chile,-35.6751,-71.543
58,China,31.8257,117.2264
92,Colombia,4.5709,-74.2973
93,Comoros,-11.6455,43.3333
94,Congo (Brazzaville),-228.0,15.8277
95,Congo (Kinshasa),-4.0383,21.7587
96,Costa Rica,9.7489,-83.7534
97,Cote d'Ivoire,7.54,-5.5471
98,Croatia,45.1,15.2
99,Cuba,21.521757,-77.781167
100,Cyprus,35.1264,33.4299
101,Czechia,49.8175,15.473
102,Denmark,61.8926,-6.9118
105,Diamond Princess,0.0,0.0
106,Djibouti,11.8251,42.5903
107,Dominica,15.415,-61.371
108,Dominican Republic,18.7357,-70.1627
109,Ecuador,-1.8312,-78.1834
110,Egypt,26.820553,30.802498
111,El Salvador,13.7942,-88.8965
112,Equatorial Guinea,1.6508,10.2679
113,Eritrea,15.1794,39.7823
114,Estonia,58.5953,25.0136
115,Eswatini,-26.5225,31.4659
116,Ethiopia,9.145,40.4897
117,Fiji,-17.7134,178.065
118,Finland,61.92411,25.748151
119,France,3.9339,-53.1258
131,Gabon,-0.8037,11.6094
132,Gambia,13.4432,-15.3101
133,Georgia,42.3154,43.3569
134,Germany,51.165691,10.451526
135,Ghana,7.9465,-1.0232
136,Greece,39.0742,21.8243
137,Grenada,12.1165,-61.679
138,Guatemala,15.7835,-90.2308
139,Guinea,9.9456,-9.6966
140,Guinea-Bissau,11.8037,-15.1804
141,Guyana,4.860416,-58.93018
142,Haiti,18.9712,-72.2852
143,Holy See,41.9029,12.4534
144,Honduras,15.2,-86.2419
145,Hungary,47.1625,19.5033
146,Iceland,64.9631,-19.0208
147,India,20.593684,78.96288
148,Indonesia,-0.7893,113.9213
149,Iran,32.427908,53.688046
150,Iraq,33.223191,43.679291
151,Ireland,53.1424,-7.6921
152,Israel,31.046051,34.851612
153,Italy,41.87194,12.56738
154,Jamaica,18.1096,-77.2975
155,Japan,36.204824,138.252924
156,Jordan,31.24,36.51
157,Kazakhstan,48.0196,66.9237
158,Kenya,-0.0236,37.9062
159,Kiribati,-3.3704,-168.734
160,Korea,35.907757,127.766922
161,Kosovo,42.602636,20.902977
162,Kuwait,29.31166,47.481766
163,Kyrgyzstan,41.20438,74.766098
164,Laos,19.85627,102.495496
165,Latvia,56.8796,24.6032
166,Lebanon,33.8547,35.8623
167,Lesotho,-29.61,28.2336
168,Liberia,6.428055,-9.429499
169,Libya,26.3351,17.228331
170,Liechtenstein,47.14,9.55
171,Lithuania,55.1694,23.8813
172,Luxembourg,49.8153,6.1296
173,MS Zaandam,0.0,0.0
174,Madagascar,-18.766947,46.869107
175,Malawi,-13.2543,34.3015
176,Malaysia,4.210484,101.975766
177,Maldives,3.2028,73.2207
178,Mali,17.570692,-3.996166
179,Malta,35.9375,14.3754
180,Marshall Islands,7.1315,171.1845
181,Mauritania,21.0079,-10.9408
